zone,param,timestamp,value
RK Puram,humidity,2025-10-01 01:00:00,90.3
RK Puram,humidity,2025-10-01 02:00:00,90.8
RK Puram,humidity,2025-10-01 03:00:00,91.2
RK Puram,humidity,2025-10-01 04:00:00,91.4
RK Puram,humidity,2025-10-01 05:00:00,91.3
RK Puram,humidity,2025-10-01 12:00:00,62.6
RK Puram,humidity,2025-10-01 13:00:00,63.9
RK Puram,humidity,2025-10-01 14:00:00,61.0
RK Puram,humidity,2025-10-01 15:00:00,64.1
RK Puram,humidity,2025-10-01 16:00:00,65.4
RK Puram,humidity,2025-10-01 17:00:00,69.9
RK Puram,humidity,2025-10-01 18:00:00,76.3
RK Puram,humidity,2025-10-01 19:00:00,82.9
RK Puram,humidity,2025-10-01 20:00:00,84.6
RK Puram,humidity,2025-10-01 21:00:00,86.3
RK Puram,humidity,2025-10-01 22:00:00,84.7
RK Puram,humidity,2025-10-01 23:00:00,82.0
RK Puram,humidity,2025-10-02 00:00:00,84.5
RK Puram,humidity,2025-10-02 12:00:00,64.9
RK Puram,humidity,2025-10-02 13:00:00,62.2
RK Puram,humidity,2025-10-02 14:00:00,65.5
RK Puram,humidity,2025-10-02 15:00:00,61.7
RK Puram,humidity,2025-10-02 16:00:00,67.7
RK Puram,humidity,2025-10-02 17:00:00,77.9
RK Puram,humidity,2025-10-02 18:00:00,86.7
RK Puram,humidity,2025-10-02 19:00:00,90.5
RK Puram,humidity,2025-10-02 20:00:00,91.7
RK Puram,humidity,2025-10-02 21:00:00,92.1
RK Puram,humidity,2025-10-02 22:00:00,92.3
RK Puram,humidity,2025-10-02 23:00:00,92.0
RK Puram,humidity,2025-10-03 00:00:00,91.7
RK Puram,humidity,2025-10-03 01:00:00,91.9
RK Puram,humidity,2025-10-03 02:00:00,91.9
RK Puram,humidity,2025-10-03 03:00:00,91.6
RK Puram,humidity,2025-10-03 04:00:00,91.0
RK Puram,humidity,2025-10-03 05:00:00,90.1
RK Puram,humidity,2025-10-03 06:00:00,89.9
RK Puram,humidity,2025-10-03 07:00:00,90.6
RK Puram,humidity,2025-10-03 08:00:00,88.2
RK Puram,humidity,2025-10-03 09:00:00,77.0
RK Puram,humidity,2025-10-03 10:00:00,71.6
RK Puram,humidity,2025-10-03 11:00:00,60.8
RK Puram,humidity,2025-10-03 12:00:00,61.3
RK Puram,humidity,2025-10-03 13:00:00,61.0
RK Puram,humidity,2025-10-03 14:00:00,65.9
RK Puram,humidity,2025-10-03 15:00:00,63.0
RK Puram,humidity,2025-10-03 16:00:00,64.1
RK Puram,humidity,2025-10-03 17:00:00,67.9
RK Puram,humidity,2025-10-03 18:00:00,75.3
RK Puram,humidity,2025-10-03 19:00:00,79.7
RK Puram,humidity,2025-10-03 20:00:00,84.2
RK Puram,humidity,2025-10-03 21:00:00,86.0
RK Puram,humidity,2025-10-03 22:00:00,88.1
RK Puram,humidity,2025-10-03 23:00:00,89.6
RK Puram,humidity,2025-10-04 00:00:00,90.6
RK Puram,humidity,2025-10-04 01:00:00,90.8
RK Puram,humidity,2025-10-04 02:00:00,91.3
RK Puram,humidity,2025-10-04 03:00:00,92.2
RK Puram,humidity,2025-10-04 04:00:00,92.5
RK Puram,humidity,2025-10-04 05:00:00,92.1
RK Puram,humidity,2025-10-04 06:00:00,92.4
RK Puram,humidity,2025-10-04 07:00:00,91.8
RK Puram,humidity,2025-10-04 08:00:00,89.2
RK Puram,humidity,2025-10-04 09:00:00,76.9
RK Puram,humidity,2025-10-04 10:00:00,65.0
RK Puram,humidity,2025-10-04 11:00:00,62.6
RK Puram,humidity,2025-10-04 12:00:00,61.9
RK Puram,humidity,2025-10-04 13:00:00,60.8
