zone,param,timestamp,value
RK Puram,temp,2025-12-01 01:00:00,10.6
RK Puram,temp,2025-12-01 02:00:00,10.2
RK Puram,temp,2025-12-01 03:00:00,9.6
RK Puram,temp,2025-12-01 04:00:00,9.4
RK Puram,temp,2025-12-01 06:00:00,9.2
RK Puram,temp,2025-12-01 08:00:00,10.1
RK Puram,temp,2025-12-01 09:00:00,14.7
RK Puram,temp,2025-12-01 10:00:00,19.1
RK Puram,temp,2025-12-01 11:00:00,23.2
RK Puram,temp,2025-12-01 12:00:00,27.4
RK Puram,temp,2025-12-01 13:00:00,27.3
RK Puram,temp,2025-12-01 14:00:00,26.5
RK Puram,temp,2025-12-01 15:00:00,26.3
RK Puram,temp,2025-12-01 16:00:00,25.2
RK Puram,temp,2025-12-01 17:00:00,21.1
RK Puram,temp,2025-12-01 18:00:00,17.2
RK Puram,temp,2025-12-01 19:00:00,15.5
RK Puram,temp,2025-12-01 20:00:00,14.8
RK Puram,temp,2025-12-01 21:00:00,14.0
RK Puram,temp,2025-12-01 22:00:00,13.6
RK Puram,temp,2025-12-01 23:00:00,13.1
RK Puram,temp,2025-12-02 00:00:00,12.7
RK Puram,temp,2025-12-02 01:00:00,12.3
RK Puram,temp,2025-12-02 02:00:00,12.0
RK Puram,temp,2025-12-02 03:00:00,11.9
RK Puram,temp,2025-12-02 04:00:00,12.4
RK Puram,temp,2025-12-02 05:00:00,12.6
RK Puram,temp,2025-12-02 06:00:00,12.2
RK Puram,temp,2025-12-02 07:00:00,12.0
RK Puram,temp,2025-12-02 08:00:00,13.1
RK Puram,temp,2025-12-02 09:00:00,15.5
RK Puram,temp,2025-12-02 10:00:00,20.1
RK Puram,temp,2025-12-02 11:00:00,23.3
RK Puram,temp,2025-12-02 12:00:00,25.7
RK Puram,temp,2025-12-02 13:00:00,27.2
RK Puram,temp,2025-12-02 14:00:00,26.9
RK Puram,temp,2025-12-02 15:00:00,26.3
RK Puram,temp,2025-12-02 16:00:00,24.2
RK Puram,temp,2025-12-02 17:00:00,20.8
RK Puram,temp,2025-12-02 18:00:00,18.0
RK Puram,temp,2025-12-02 19:00:00,16.7
RK Puram,temp,2025-12-02 20:00:00,15.7
RK Puram,temp,2025-12-02 21:00:00,15.0
RK Puram,temp,2025-12-02 22:00:00,14.3
RK Puram,temp,2025-12-02 23:00:00,13.7
RK Puram,temp,2025-12-03 00:00:00,13.0
RK Puram,temp,2025-12-03 12:00:00,24.5
RK Puram,temp,2025-12-03 13:00:00,25.3
RK Puram,temp,2025-12-03 14:00:00,24.8
RK Puram,temp,2025-12-03 15:00:00,24.6
RK Puram,temp,2025-12-03 16:00:00,24.0
RK Puram,temp,2025-12-03 17:00:00,20.9
RK Puram,temp,2025-12-03 18:00:00,16.5
RK Puram,temp,2025-12-03 19:00:00,14.8
RK Puram,temp,2025-12-03 20:00:00,13.8
RK Puram,temp,2025-12-03 21:00:00,12.9
RK Puram,temp,2025-12-03 22:00:00,12.1
RK Puram,temp,2025-12-03 23:00:00,11.8
RK Puram,temp,2025-12-04 00:00:00,11.0
RK Puram,temp,2025-12-04 01:00:00,10.6
RK Puram,temp,2025-12-04 02:00:00,10.5
RK Puram,temp,2025-12-04 03:00:00,9.9
RK Puram,temp,2025-12-04 04:00:00,9.7
RK Puram,temp,2025-12-04 05:00:00,9.4
RK Puram,temp,2025-12-04 06:00:00,9.4
RK Puram,temp,2025-12-04 07:00:00,9.0
RK Puram,temp,2025-12-04 11:00:00,20.8
RK Puram,temp,2025-12-04 13:00:00,23.7
RK Puram,temp,2025-12-04 14:00:00,23.9
RK Puram,temp,2025-12-04 15:00:00,23.7
RK Puram,temp,2025-12-04 16:00:00,23.0
RK Puram,temp,2025-12-04 17:00:00,20.2
RK Puram,temp,2025-12-04 18:00:00,15.5
RK Puram,temp,2025-12-04 19:00:00,13.7
RK Puram,temp,2025-12-04 20:00:00,12.9
RK Puram,temp,2025-12-04 21:00:00,12.4
RK Puram,temp,2025-12-04 22:00:00,11.8
RK Puram,temp,2025-12-04 23:00:00,11.1
RK Puram,temp,2025-12-05 00:00:00,10.4
RK Puram,temp,2025-12-05 02:00:00,9.4
RK Puram,temp,2025-12-05 03:00:00,9.4
RK Puram,temp,2025-12-05 05:00:00,9.8
RK Puram,temp,2025-12-05 07:00:00,9.7
RK Puram,temp,2025-12-05 08:00:00,10.2
RK Puram,temp,2025-12-05 09:00:00,13.7
RK Puram,temp,2025-12-05 10:00:00,16.8
RK Puram,temp,2025-12-05 11:00:00,19.8
RK Puram,temp,2025-12-05 12:00:00,23.3
RK Puram,temp,2025-12-05 13:00:00,24.2
RK Puram,temp,2025-12-05 14:00:00,24.5
RK Puram,temp,2025-12-05 19:00:00,14.2
RK Puram,temp,2025-12-05 20:00:00,13.4
RK Puram,temp,2025-12-05 21:00:00,12.9
RK Puram,temp,2025-12-05 22:00:00,12.2
RK Puram,temp,2025-12-05 23:00:00,11.8
RK Puram,temp,2025-12-06 01:00:00,11.9
RK Puram,temp,2025-12-06 02:00:00,11.5
RK Puram,temp,2025-12-06 03:00:00,11.7
RK Puram,temp,2025-12-06 04:00:00,10.7
RK Puram,temp,2025-12-06 05:00:00,10.4
RK Puram,temp,2025-12-06 07:00:00,9.5
RK Puram,temp,2025-12-06 08:00:00,10.2
RK Puram,temp,2025-12-06 09:00:00,13.7
RK Puram,temp,2025-12-06 10:00:00,16.8
RK Puram,temp,2025-12-06 11:00:00,20.7
RK Puram,temp,2025-12-06 12:00:00,24.4
RK Puram,temp,2025-12-06 13:00:00,25.5
RK Puram,temp,2025-12-06 14:00:00,26.2
RK Puram,temp,2025-12-06 15:00:00,25.7
RK Puram,temp,2025-12-06 16:00:00,25.0
RK Puram,temp,2025-12-06 18:00:00,19.1
RK Puram,temp,2025-12-06 19:00:00,17.8
RK Puram,temp,2025-12-06 20:00:00,16.5
RK Puram,temp,2025-12-06 22:00:00,16.3
RK Puram,temp,2025-12-06 23:00:00,14.4
RK Puram,temp,2025-12-07 00:00:00,13.1
