zone,param,timestamp,value
Rohini,NO2,2025-12-01 01:00:00,103.6
Rohini,NO2,2025-12-01 02:00:00,83.0
Rohini,NO2,2025-12-01 03:00:00,77.0
Rohini,NO2,2025-12-01 04:00:00,73.5
Rohini,NO2,2025-12-01 05:00:00,53.6
Rohini,NO2,2025-12-01 06:00:00,36.4
Rohini,NO2,2025-12-01 07:00:00,50.5
Rohini,NO2,2025-12-01 08:00:00,41.7
Rohini,NO2,2025-12-01 09:00:00,98.3
Rohini,NO2,2025-12-01 10:00:00,68.5
Rohini,NO2,2025-12-01 11:00:00,61.7
Rohini,NO2,2025-12-01 12:00:00,31.0
Rohini,NO2,2025-12-01 13:00:00,28.4
Rohini,NO2,2025-12-01 14:00:00,23.8
Rohini,NO2,2025-12-01 15:00:00,22.6
Rohini,NO2,2025-12-01 16:00:00,44.0
Rohini,NO2,2025-12-01 17:00:00,57.1
Rohini,NO2,2025-12-01 18:00:00,103.8
Rohini,NO2,2025-12-01 19:00:00,99.5
Rohini,NO2,2025-12-01 20:00:00,80.2
Rohini,NO2,2025-12-01 21:00:00,66.4
Rohini,NO2,2025-12-01 22:00:00,69.4
Rohini,NO2,2025-12-01 23:00:00,89.9
Rohini,NO2,2025-12-02 00:00:00,69.2
Rohini,NO2,2025-12-02 01:00:00,49.8
Rohini,NO2,2025-12-02 02:00:00,66.6
Rohini,NO2,2025-12-02 03:00:00,85.2
Rohini,NO2,2025-12-02 04:00:00,71.3
Rohini,NO2,2025-12-02 05:00:00,72.0
Rohini,NO2,2025-12-02 06:00:00,73.3
Rohini,NO2,2025-12-02 07:00:00,63.7
Rohini,NO2,2025-12-02 08:00:00,53.7
Rohini,NO2,2025-12-02 09:00:00,104.3
Rohini,NO2,2025-12-02 10:00:00,120.7
Rohini,NO2,2025-12-02 11:00:00,105.2
Rohini,NO2,2025-12-02 12:00:00,83.1
Rohini,NO2,2025-12-02 13:00:00,74.6
Rohini,NO2,2025-12-02 14:00:00,48.4
Rohini,NO2,2025-12-02 15:00:00,29.2
Rohini,NO2,2025-12-02 16:00:00,29.0
Rohini,NO2,2025-12-02 17:00:00,37.9
Rohini,NO2,2025-12-02 18:00:00,203.0
Rohini,NO2,2025-12-02 19:00:00,69.5
Rohini,NO2,2025-12-02 20:00:00,63.4
Rohini,NO2,2025-12-02 21:00:00,98.8
Rohini,NO2,2025-12-02 22:00:00,72.4
Rohini,NO2,2025-12-02 23:00:00,50.9
Rohini,NO2,2025-12-03 00:00:00,49.6
Rohini,NO2,2025-12-03 01:00:00,75.8
Rohini,NO2,2025-12-03 02:00:00,50.3
Rohini,NO2,2025-12-03 03:00:00,55.2
Rohini,NO2,2025-12-03 12:00:00,31.3
Rohini,NO2,2025-12-03 13:00:00,28.2
Rohini,NO2,2025-12-03 14:00:00,29.1
Rohini,NO2,2025-12-03 15:00:00,26.7
Rohini,NO2,2025-12-03 16:00:00,23.5
Rohini,NO2,2025-12-03 17:00:00,41.7
Rohini,NO2,2025-12-03 18:00:00,67.4
Rohini,NO2,2025-12-03 19:00:00,84.8
Rohini,NO2,2025-12-03 20:00:00,62.3
Rohini,NO2,2025-12-03 21:00:00,58.8
Rohini,NO2,2025-12-03 22:00:00,84.2
Rohini,NO2,2025-12-03 23:00:00,
Rohini,NO2,2025-12-04 00:00:00,66.4
Rohini,NO2,2025-12-04 01:00:00,49.4
Rohini,NO2,2025-12-04 02:00:00,50.4
Rohini,NO2,2025-12-04 03:00:00,51.5
Rohini,NO2,2025-12-04 04:00:00,42.9
Rohini,NO2,2025-12-04 05:00:00,29.2
Rohini,NO2,2025-12-04 06:00:00,74.3
Rohini,NO2,2025-12-04 07:00:00,65.2
Rohini,NO2,2025-12-04 08:00:00,74.8
Rohini,NO2,2025-12-04 09:00:00,49.8
Rohini,NO2,2025-12-04 10:00:00,45.6
Rohini,NO2,2025-12-04 11:00:00,30.6
Rohini,NO2,2025-12-04 12:00:00,35.5
Rohini,NO2,2025-12-04 13:00:00,35.1
Rohini,NO2,2025-12-04 14:00:00,26.7
Rohini,NO2,2025-12-04 15:00:00,25.2
Rohini,NO2,2025-12-04 16:00:00,24.7
Rohini,NO2,2025-12-04 17:00:00,52.7
Rohini,NO2,2025-12-04 18:00:00,77.4
Rohini,NO2,2025-12-04 19:00:00,70.7
Rohini,NO2,2025-12-04 20:00:00,81.1
Rohini,NO2,2025-12-04 21:00:00,62.6
Rohini,NO2,2025-12-04 22:00:00,77.5
Rohini,NO2,2025-12-04 23:00:00,46.3
Rohini,NO2,2025-12-05 00:00:00,50.0
Rohini,NO2,2025-12-05 01:00:00,31.3
Rohini,NO2,2025-12-05 02:00:00,72.5
Rohini,NO2,2025-12-05 03:00:00,68.1
Rohini,NO2,2025-12-05 04:00:00,53.0
Rohini,NO2,2025-12-05 05:00:00,47.3
Rohini,NO2,2025-12-05 06:00:00,58.6
Rohini,NO2,2025-12-05 07:00:00,44.0
Rohini,NO2,2025-12-05 08:00:00,52.0
Rohini,NO2,2025-12-05 09:00:00,76.0
Rohini,NO2,2025-12-05 10:00:00,55.4
Rohini,NO2,2025-12-05 11:00:00,51.1
Rohini,NO2,2025-12-05 12:00:00,35.4
Rohini,NO2,2025-12-05 13:00:00,
Rohini,NO2,2025-12-05 14:00:00,16.7
Rohini,NO2,2025-12-05 15:00:00,14.1
Rohini,NO2,2025-12-05 16:00:00,22.2
Rohini,NO2,2025-12-05 17:00:00,70.2
Rohini,NO2,2025-12-05 18:00:00,82.6
Rohini,NO2,2025-12-05 19:00:00,73.9
Rohini,NO2,2025-12-05 20:00:00,39.2
Rohini,NO2,2025-12-05 21:00:00,62.4
Rohini,NO2,2025-12-05 22:00:00,62.0
Rohini,NO2,2025-12-05 23:00:00,59.3
Rohini,NO2,2025-12-06 00:00:00,61.1
Rohini,NO2,2025-12-06 01:00:00,61.8
Rohini,NO2,2025-12-06 02:00:00,47.9
Rohini,NO2,2025-12-06 03:00:00,57.0
Rohini,NO2,2025-12-06 04:00:00,48.2
Rohini,NO2,2025-12-06 05:00:00,44.2
Rohini,NO2,2025-12-06 06:00:00,42.6
Rohini,NO2,2025-12-06 07:00:00,46.5
Rohini,NO2,2025-12-06 08:00:00,52.2
Rohini,NO2,2025-12-06 09:00:00,39.2
Rohini,NO2,2025-12-06 10:00:00,33.4
Rohini,NO2,2025-12-06 11:00:00,31.0
Rohini,NO2,2025-12-06 12:00:00,29.0
Rohini,NO2,2025-12-06 13:00:00,25.7
Rohini,NO2,2025-12-06 14:00:00,21.9
Rohini,NO2,2025-12-06 15:00:00,21.7
Rohini,NO2,2025-12-06 16:00:00,26.2
Rohini,NO2,2025-12-06 17:00:00,38.2
Rohini,NO2,2025-12-06 18:00:00,57.9
Rohini,NO2,2025-12-06 19:00:00,54.7
Rohini,NO2,2025-12-06 20:00:00,50.6
Rohini,NO2,2025-12-06 21:00:00,81.5
Rohini,NO2,2025-12-06 22:00:00,63.0
Rohini,NO2,2025-12-06 23:00:00,49.3
Rohini,NO2,2025-12-07 00:00:00,47.0
