zone,param,timestamp,value
Rohini,O3,2025-10-01 01:00:00,5.2
Rohini,O3,2025-10-01 02:00:00,1.0
Rohini,O3,2025-10-01 03:00:00,5.3
Rohini,O3,2025-10-01 04:00:00,5.1
Rohini,O3,2025-10-01 05:00:00,5.7
Rohini,O3,2025-10-01 06:00:00,2.5
Rohini,O3,2025-10-01 07:00:00,5.4
Rohini,O3,2025-10-01 08:00:00,9.7
Rohini,O3,2025-10-01 09:00:00,8.5
Rohini,O3,2025-10-01 10:00:00,23.9
Rohini,O3,2025-10-01 11:00:00,39.3
Rohini,O3,2025-10-01 12:00:00,52.0
Rohini,O3,2025-10-01 13:00:00,56.5
Rohini,O3,2025-10-01 14:00:00,73.7
Rohini,O3,2025-10-01 15:00:00,73.8
Rohini,O3,2025-10-01 16:00:00,66.3
Rohini,O3,2025-10-01 17:00:00,70.2
Rohini,O3,2025-10-01 18:00:00,52.8
Rohini,O3,2025-10-01 19:00:00,26.8
Rohini,O3,2025-10-01 20:00:00,4.6
Rohini,O3,2025-10-01 21:00:00,10.8
Rohini,O3,2025-10-01 22:00:00,7.0
Rohini,O3,2025-10-01 23:00:00,8.5
Rohini,O3,2025-10-02 00:00:00,5.8
Rohini,O3,2025-10-02 01:00:00,5.2
Rohini,O3,2025-10-02 02:00:00,
Rohini,O3,2025-10-02 03:00:00,4.3
Rohini,O3,2025-10-02 04:00:00,4.8
Rohini,O3,2025-10-02 05:00:00,6.0
Rohini,O3,2025-10-02 06:00:00,5.8
Rohini,O3,2025-10-02 07:00:00,8.3
Rohini,O3,2025-10-02 08:00:00,1.7
Rohini,O3,2025-10-02 09:00:00,3.8
Rohini,O3,2025-10-02 10:00:00,21.1
Rohini,O3,2025-10-02 11:00:00,38.6
Rohini,O3,2025-10-02 12:00:00,45.6
Rohini,O3,2025-10-02 13:00:00,77.4
Rohini,O3,2025-10-02 14:00:00,53.8
Rohini,O3,2025-10-02 15:00:00,40.4
Rohini,O3,2025-10-02 16:00:00,13.5
Rohini,O3,2025-10-02 17:00:00,20.3
Rohini,O3,2025-10-02 18:00:00,14.1
Rohini,O3,2025-10-02 19:00:00,28.3
Rohini,O3,2025-10-02 20:00:00,11.6
Rohini,O3,2025-10-02 21:00:00,7.5
Rohini,O3,2025-10-02 22:00:00,8.1
Rohini,O3,2025-10-02 23:00:00,9.7
Rohini,O3,2025-10-03 00:00:00,
Rohini,O3,2025-10-03 01:00:00,7.3
Rohini,O3,2025-10-03 02:00:00,6.7
Rohini,O3,2025-10-03 03:00:00,1.4
Rohini,O3,2025-10-03 04:00:00,5.1
Rohini,O3,2025-10-03 05:00:00,4.2
Rohini,O3,2025-10-03 06:00:00,4.2
Rohini,O3,2025-10-03 07:00:00,4.1
Rohini,O3,2025-10-03 08:00:00,2.3
Rohini,O3,2025-10-03 09:00:00,4.0
Rohini,O3,2025-10-03 11:00:00,31.5
Rohini,O3,2025-10-03 12:00:00,51.5
Rohini,O3,2025-10-03 13:00:00,48.4
Rohini,O3,2025-10-03 14:00:00,66.4
Rohini,O3,2025-10-03 15:00:00,64.7
Rohini,O3,2025-10-03 16:00:00,55.1
Rohini,O3,2025-10-03 17:00:00,56.2
Rohini,O3,2025-10-03 18:00:00,43.9
Rohini,O3,2025-10-03 19:00:00,15.3
Rohini,O3,2025-10-03 20:00:00,11.0
Rohini,O3,2025-10-03 21:00:00,
Rohini,O3,2025-10-03 22:00:00,6.2
Rohini,O3,2025-10-03 23:00:00,7.4
Rohini,O3,2025-10-04 00:00:00,8.6
Rohini,O3,2025-10-04 01:00:00,5.3
Rohini,O3,2025-10-04 02:00:00,3.0
Rohini,O3,2025-10-04 03:00:00,99.9
Rohini,O3,2025-10-04 04:00:00,29.3
Rohini,O3,2025-10-04 05:00:00,4.3
Rohini,O3,2025-10-04 06:00:00,5.5
Rohini,O3,2025-10-04 07:00:00,4.8
Rohini,O3,2025-10-04 08:00:00,5.8
Rohini,O3,2025-10-04 09:00:00,16.1
Rohini,O3,2025-10-04 10:00:00,29.8
Rohini,O3,2025-10-04 11:00:00,35.4
Rohini,O3,2025-10-04 12:00:00,43.0
Rohini,O3,2025-10-04 13:00:00,62.6
Rohini,O3,2025-10-04 14:00:00,54.9
Rohini,O3,2025-10-04 15:00:00,65.5
Rohini,O3,2025-10-04 16:00:00,70.1
Rohini,O3,2025-10-04 17:00:00,75.3
Rohini,O3,2025-10-04 18:00:00,67.9
Rohini,O3,2025-10-04 19:00:00,31.0
Rohini,O3,2025-10-04 20:00:00,11.9
Rohini,O3,2025-10-04 21:00:00,12.1
Rohini,O3,2025-10-04 22:00:00,12.2
Rohini,O3,2025-10-04 23:00:00,11.1
Rohini,O3,2025-10-05 00:00:00,7.9
Rohini,O3,2025-10-05 01:00:00,9.4
Rohini,O3,2025-10-05 02:00:00,6.5
Rohini,O3,2025-10-05 03:00:00,4.2
Rohini,O3,2025-10-05 04:00:00,6.2
Rohini,O3,2025-10-05 05:00:00,3.4
Rohini,O3,2025-10-05 06:00:00,4.9
Rohini,O3,2025-10-05 07:00:00,10.4
Rohini,O3,2025-10-05 08:00:00,12.5
Rohini,O3,2025-10-05 09:00:00,20.5
Rohini,O3,2025-10-05 10:00:00,26.4
Rohini,O3,2025-10-05 11:00:00,33.3
Rohini,O3,2025-10-05 12:00:00,72.4
Rohini,O3,2025-10-05 13:00:00,80.9
Rohini,O3,2025-10-05 14:00:00,85.4
Rohini,O3,2025-10-05 15:00:00,99.1
Rohini,O3,2025-10-05 16:00:00,79.7
Rohini,O3,2025-10-05 17:00:00,87.5
Rohini,O3,2025-10-05 18:00:00,53.9
Rohini,O3,2025-10-05 19:00:00,24.9
Rohini,O3,2025-10-05 20:00:00,2.7
Rohini,O3,2025-10-05 21:00:00,4.1
Rohini,O3,2025-10-05 22:00:00,3.2
Rohini,O3,2025-10-05 23:00:00,8.1
Rohini,O3,2025-10-06 00:00:00,21.3
Rohini,O3,2025-10-06 01:00:00,41.2
Rohini,O3,2025-10-06 02:00:00,36.7
Rohini,O3,2025-10-06 03:00:00,34.1
Rohini,O3,2025-10-06 04:00:00,12.2
Rohini,O3,2025-10-06 05:00:00,7.2
Rohini,O3,2025-10-06 06:00:00,2.5
Rohini,O3,2025-10-06 07:00:00,6.1
Rohini,O3,2025-10-06 08:00:00,5.0
Rohini,O3,2025-10-06 09:00:00,12.0
Rohini,O3,2025-10-06 10:00:00,15.0
Rohini,O3,2025-10-06 11:00:00,40.9
Rohini,O3,2025-10-06 12:00:00,37.6
Rohini,O3,2025-10-06 13:00:00,35.7
Rohini,O3,2025-10-06 14:00:00,25.7
Rohini,O3,2025-10-06 15:00:00,27.0
Rohini,O3,2025-10-06 16:00:00,32.4
Rohini,O3,2025-10-06 17:00:00,20.9
Rohini,O3,2025-10-06 18:00:00,8.3
Rohini,O3,2025-10-06 19:00:00,26.7
Rohini,O3,2025-10-06 20:00:00,24.5
Rohini,O3,2025-10-06 21:00:00,21.9
Rohini,O3,2025-10-06 22:00:00,24.0
Rohini,O3,2025-10-06 23:00:00,17.1
Rohini,O3,2025-10-07 00:00:00,15.3
Rohini,O3,2025-10-07 01:00:00,8.4
Rohini,O3,2025-10-07 02:00:00,19.1
Rohini,O3,2025-10-07 03:00:00,8.6
Rohini,O3,2025-10-07 04:00:00,4.8
Rohini,O3,2025-10-07 05:00:00,19.0
Rohini,O3,2025-10-07 06:00:00,17.3
