zone,param,timestamp,value
Vivek Vihar,O3,2025-12-01 01:00:00,4.5
Vivek Vihar,O3,2025-12-01 02:00:00,4.0
Vivek Vihar,O3,2025-12-01 03:00:00,4.9
Vivek Vihar,O3,2025-12-01 04:00:00,5.3
Vivek Vihar,O3,2025-12-01 05:00:00,6.2
Vivek Vihar,O3,2025-12-01 06:00:00,5.2
Vivek Vihar,O3,2025-12-01 07:00:00,5.5
Vivek Vihar,O3,2025-12-01 08:00:00,6.1
Vivek Vihar,O3,2025-12-01 09:00:00,8.6
Vivek Vihar,O3,2025-12-01 10:00:00,26.4
Vivek Vihar,O3,2025-12-01 11:00:00,79.5
Vivek Vihar,O3,2025-12-01 12:00:00,131.9
Vivek Vihar,O3,2025-12-01 13:00:00,168.0
Vivek Vihar,O3,2025-12-01 14:00:00,170.4
Vivek Vihar,O3,2025-12-01 15:00:00,163.6
Vivek Vihar,O3,2025-12-01 16:00:00,142.7
Vivek Vihar,O3,2025-12-01 17:00:00,64.5
Vivek Vihar,O3,2025-12-01 18:00:00,12.9
Vivek Vihar,O3,2025-12-01 19:00:00,14.3
Vivek Vihar,O3,2025-12-01 20:00:00,6.8
Vivek Vihar,O3,2025-12-01 21:00:00,5.8
Vivek Vihar,O3,2025-12-01 22:00:00,7.2
Vivek Vihar,O3,2025-12-02 10:00:00,21.9
Vivek Vihar,O3,2025-12-02 11:00:00,46.4
Vivek Vihar,O3,2025-12-02 12:00:00,92.7
Vivek Vihar,O3,2025-12-02 13:00:00,145.8
Vivek Vihar,O3,2025-12-02 14:00:00,163.0
Vivek Vihar,O3,2025-12-02 15:00:00,163.5
Vivek Vihar,O3,2025-12-02 16:00:00,113.9
Vivek Vihar,O3,2025-12-02 17:00:00,54.6
Vivek Vihar,O3,2025-12-02 18:00:00,32.3
Vivek Vihar,O3,2025-12-02 19:00:00,9.2
Vivek Vihar,O3,2025-12-02 20:00:00,4.9
Vivek Vihar,O3,2025-12-02 21:00:00,5.9
Vivek Vihar,O3,2025-12-02 22:00:00,3.9
Vivek Vihar,O3,2025-12-02 23:00:00,4.6
Vivek Vihar,O3,2025-12-03 00:00:00,4.1
Vivek Vihar,O3,2025-12-03 01:00:00,3.7
Vivek Vihar,O3,2025-12-04 08:00:00,14.9
Vivek Vihar,O3,2025-12-04 09:00:00,34.2
Vivek Vihar,O3,2025-12-04 10:00:00,59.2
Vivek Vihar,O3,2025-12-04 11:00:00,78.5
Vivek Vihar,O3,2025-12-04 12:00:00,90.8
Vivek Vihar,O3,2025-12-04 13:00:00,111.5
Vivek Vihar,O3,2025-12-04 14:00:00,118.3
Vivek Vihar,O3,2025-12-04 15:00:00,125.3
Vivek Vihar,O3,2025-12-04 16:00:00,131.4
Vivek Vihar,O3,2025-12-04 17:00:00,88.7
Vivek Vihar,O3,2025-12-04 18:00:00,37.0
Vivek Vihar,O3,2025-12-04 19:00:00,6.2
Vivek Vihar,O3,2025-12-05 02:00:00,3.6
Vivek Vihar,O3,2025-12-05 04:00:00,4.6
Vivek Vihar,O3,2025-12-05 05:00:00,3.7
Vivek Vihar,O3,2025-12-05 06:00:00,2.7
Vivek Vihar,O3,2025-12-05 07:00:00,3.9
Vivek Vihar,O3,2025-12-05 08:00:00,4.3
Vivek Vihar,O3,2025-12-05 09:00:00,9.6
Vivek Vihar,O3,2025-12-05 10:00:00,22.7
Vivek Vihar,O3,2025-12-05 11:00:00,50.6
Vivek Vihar,O3,2025-12-05 12:00:00,
Vivek Vihar,O3,2025-12-05 13:00:00,121.4
Vivek Vihar,O3,2025-12-05 14:00:00,151.3
Vivek Vihar,O3,2025-12-05 15:00:00,143.2
Vivek Vihar,O3,2025-12-05 16:00:00,135.3
Vivek Vihar,O3,2025-12-05 17:00:00,60.9
Vivek Vihar,O3,2025-12-05 19:00:00,5.5
Vivek Vihar,O3,2025-12-05 20:00:00,4.6
Vivek Vihar,O3,2025-12-05 21:00:00,5.4
Vivek Vihar,O3,2025-12-05 22:00:00,4.9
Vivek Vihar,O3,2025-12-05 23:00:00,4.8
Vivek Vihar,O3,2025-12-06 00:00:00,4.1
Vivek Vihar,O3,2025-12-06 01:00:00,3.3
Vivek Vihar,O3,2025-12-06 02:00:00,2.8
Vivek Vihar,O3,2025-12-06 03:00:00,3.4
Vivek Vihar,O3,2025-12-06 04:00:00,9.9
Vivek Vihar,O3,2025-12-06 05:00:00,14.1
Vivek Vihar,O3,2025-12-06 06:00:00,25.7
Vivek Vihar,O3,2025-12-06 07:00:00,34.1
Vivek Vihar,O3,2025-12-06 08:00:00,36.1
Vivek Vihar,O3,2025-12-06 09:00:00,39.3
Vivek Vihar,O3,2025-12-06 10:00:00,50.9
Vivek Vihar,O3,2025-12-06 11:00:00,74.3
Vivek Vihar,O3,2025-12-06 12:00:00,94.4
Vivek Vihar,O3,2025-12-06 13:00:00,111.9
Vivek Vihar,O3,2025-12-06 14:00:00,116.0
Vivek Vihar,O3,2025-12-06 15:00:00,112.6
Vivek Vihar,O3,2025-12-06 16:00:00,120.6
Vivek Vihar,O3,2025-12-06 17:00:00,88.7
Vivek Vihar,O3,2025-12-06 18:00:00,36.6
Vivek Vihar,O3,2025-12-06 19:00:00,15.6
Vivek Vihar,O3,2025-12-06 20:00:00,11.4
