zone,param,timestamp,value
Wazirpur,NO2,2025-10-01 01:00:00,34.2
Wazirpur,NO2,2025-10-01 02:00:00,39.2
Wazirpur,NO2,2025-10-01 03:00:00,51.9
Wazirpur,NO2,2025-10-01 04:00:00,40.8
Wazirpur,NO2,2025-10-01 05:00:00,43.2
Wazirpur,NO2,2025-10-01 06:00:00,38.9
Wazirpur,NO2,2025-10-01 07:00:00,34.7
Wazirpur,NO2,2025-10-01 08:00:00,46.5
Wazirpur,NO2,2025-10-01 09:00:00,36.8
Wazirpur,NO2,2025-10-01 10:00:00,41.8
Wazirpur,NO2,2025-10-01 11:00:00,46.6
Wazirpur,NO2,2025-10-01 12:00:00,30.8
Wazirpur,NO2,2025-10-01 13:00:00,30.7
Wazirpur,NO2,2025-10-01 14:00:00,15.6
Wazirpur,NO2,2025-10-01 15:00:00,39.2
Wazirpur,NO2,2025-10-01 16:00:00,38.1
Wazirpur,NO2,2025-10-01 17:00:00,50.9
Wazirpur,NO2,2025-10-01 18:00:00,63.7
Wazirpur,NO2,2025-10-01 19:00:00,68.5
Wazirpur,NO2,2025-10-01 20:00:00,87.1
Wazirpur,NO2,2025-10-01 21:00:00,71.1
Wazirpur,NO2,2025-10-01 22:00:00,71.7
Wazirpur,NO2,2025-10-01 23:00:00,61.2
Wazirpur,NO2,2025-10-02 00:00:00,36.0
Wazirpur,NO2,2025-10-02 01:00:00,55.4
Wazirpur,NO2,2025-10-02 02:00:00,59.3
Wazirpur,NO2,2025-10-02 03:00:00,54.6
Wazirpur,NO2,2025-10-02 04:00:00,52.2
Wazirpur,NO2,2025-10-02 05:00:00,41.5
Wazirpur,NO2,2025-10-02 06:00:00,51.3
Wazirpur,NO2,2025-10-02 07:00:00,56.2
Wazirpur,NO2,2025-10-02 08:00:00,67.9
Wazirpur,NO2,2025-10-02 09:00:00,44.5
Wazirpur,NO2,2025-10-02 10:00:00,38.8
Wazirpur,NO2,2025-10-02 11:00:00,37.2
Wazirpur,NO2,2025-10-02 12:00:00,35.6
Wazirpur,NO2,2025-10-02 13:00:00,32.9
Wazirpur,NO2,2025-10-02 14:00:00,42.9
Wazirpur,NO2,2025-10-02 15:00:00,36.7
Wazirpur,NO2,2025-10-02 16:00:00,53.0
Wazirpur,NO2,2025-10-02 17:00:00,64.2
Wazirpur,NO2,2025-10-02 18:00:00,40.5
Wazirpur,NO2,2025-10-02 19:00:00,40.7
Wazirpur,NO2,2025-10-02 20:00:00,63.2
Wazirpur,NO2,2025-10-02 21:00:00,63.5
Wazirpur,NO2,2025-10-02 22:00:00,49.2
Wazirpur,NO2,2025-10-02 23:00:00,43.8
Wazirpur,NO2,2025-10-03 00:00:00,40.6
Wazirpur,NO2,2025-10-03 01:00:00,42.0
Wazirpur,NO2,2025-10-03 02:00:00,40.5
Wazirpur,NO2,2025-10-03 03:00:00,37.7
Wazirpur,NO2,2025-10-03 04:00:00,33.0
Wazirpur,NO2,2025-10-03 05:00:00,36.6
Wazirpur,NO2,2025-10-03 06:00:00,36.9
Wazirpur,NO2,2025-10-03 07:00:00,35.2
Wazirpur,NO2,2025-10-03 08:00:00,30.2
Wazirpur,NO2,2025-10-03 09:00:00,47.0
Wazirpur,NO2,2025-10-03 14:00:00,36.8
Wazirpur,NO2,2025-10-03 16:00:00,
Wazirpur,NO2,2025-10-03 17:00:00,
Wazirpur,NO2,2025-10-03 18:00:00,60.3
Wazirpur,NO2,2025-10-03 19:00:00,69.0
