zone,param,timestamp,value
Wazirpur,O3,2025-12-01 01:00:00,15.9
Wazirpur,O3,2025-12-01 02:00:00,4.2
Wazirpur,O3,2025-12-01 03:00:00,4.4
Wazirpur,O3,2025-12-01 04:00:00,3.9
Wazirpur,O3,2025-12-01 05:00:00,6.1
Wazirpur,O3,2025-12-01 06:00:00,19.3
Wazirpur,O3,2025-12-01 07:00:00,15.3
Wazirpur,O3,2025-12-01 08:00:00,15.3
Wazirpur,O3,2025-12-01 09:00:00,21.3
Wazirpur,O3,2025-12-01 10:00:00,25.1
Wazirpur,O3,2025-12-01 11:00:00,66.5
Wazirpur,O3,2025-12-01 12:00:00,116.0
Wazirpur,O3,2025-12-01 13:00:00,121.0
Wazirpur,O3,2025-12-01 14:00:00,151.4
Wazirpur,O3,2025-12-01 15:00:00,131.2
Wazirpur,O3,2025-12-01 16:00:00,127.2
Wazirpur,O3,2025-12-01 17:00:00,55.9
Wazirpur,O3,2025-12-01 18:00:00,57.7
Wazirpur,O3,2025-12-01 19:00:00,4.0
Wazirpur,O3,2025-12-01 20:00:00,4.1
Wazirpur,O3,2025-12-01 21:00:00,3.7
Wazirpur,O3,2025-12-01 22:00:00,3.3
Wazirpur,O3,2025-12-01 23:00:00,19.7
Wazirpur,O3,2025-12-02 00:00:00,17.3
Wazirpur,O3,2025-12-02 01:00:00,16.3
Wazirpur,O3,2025-12-02 02:00:00,19.6
Wazirpur,O3,2025-12-02 03:00:00,2.5
Wazirpur,O3,2025-12-02 04:00:00,7.1
Wazirpur,O3,2025-12-02 05:00:00,3.0
Wazirpur,O3,2025-12-02 06:00:00,5.0
Wazirpur,O3,2025-12-02 07:00:00,19.9
Wazirpur,O3,2025-12-02 08:00:00,18.8
Wazirpur,O3,2025-12-02 09:00:00,22.4
Wazirpur,O3,2025-12-02 10:00:00,33.7
Wazirpur,O3,2025-12-02 11:00:00,45.1
Wazirpur,O3,2025-12-02 12:00:00,77.5
Wazirpur,O3,2025-12-02 13:00:00,147.9
Wazirpur,O3,2025-12-02 14:00:00,143.7
Wazirpur,O3,2025-12-02 15:00:00,157.3
Wazirpur,O3,2025-12-02 16:00:00,102.3
Wazirpur,O3,2025-12-02 17:00:00,56.4
Wazirpur,O3,2025-12-02 18:00:00,15.2
Wazirpur,O3,2025-12-02 19:00:00,17.3
Wazirpur,O3,2025-12-02 20:00:00,9.6
Wazirpur,O3,2025-12-02 21:00:00,5.5
Wazirpur,O3,2025-12-02 22:00:00,9.2
Wazirpur,O3,2025-12-02 23:00:00,
Wazirpur,O3,2025-12-03 00:00:00,17.0
Wazirpur,O3,2025-12-03 13:00:00,89.0
Wazirpur,O3,2025-12-03 14:00:00,96.1
Wazirpur,O3,2025-12-03 15:00:00,85.6
Wazirpur,O3,2025-12-03 16:00:00,100.0
Wazirpur,O3,2025-12-03 17:00:00,44.9
Wazirpur,O3,2025-12-03 18:00:00,18.0
Wazirpur,O3,2025-12-03 19:00:00,19.4
Wazirpur,O3,2025-12-03 20:00:00,21.1
Wazirpur,O3,2025-12-03 21:00:00,10.8
Wazirpur,O3,2025-12-04 08:00:00,18.1
Wazirpur,O3,2025-12-04 09:00:00,41.4
Wazirpur,O3,2025-12-04 10:00:00,40.4
Wazirpur,O3,2025-12-04 11:00:00,80.9
Wazirpur,O3,2025-12-04 12:00:00,85.3
Wazirpur,O3,2025-12-04 13:00:00,88.1
Wazirpur,O3,2025-12-04 14:00:00,101.3
Wazirpur,O3,2025-12-04 15:00:00,109.5
Wazirpur,O3,2025-12-04 16:00:00,102.5
Wazirpur,O3,2025-12-04 17:00:00,51.3
Wazirpur,O3,2025-12-04 18:00:00,23.4
Wazirpur,O3,2025-12-04 19:00:00,21.1
Wazirpur,O3,2025-12-04 20:00:00,19.4
Wazirpur,O3,2025-12-04 21:00:00,16.6
Wazirpur,O3,2025-12-04 22:00:00,13.1
Wazirpur,O3,2025-12-04 23:00:00,13.1
Wazirpur,O3,2025-12-05 00:00:00,13.2
Wazirpur,O3,2025-12-05 01:00:00,12.4
Wazirpur,O3,2025-12-05 02:00:00,18.7
Wazirpur,O3,2025-12-05 03:00:00,17.7
Wazirpur,O3,2025-12-05 04:00:00,17.2
Wazirpur,O3,2025-12-05 05:00:00,17.0
Wazirpur,O3,2025-12-05 06:00:00,12.7
Wazirpur,O3,2025-12-05 07:00:00,12.2
Wazirpur,O3,2025-12-05 08:00:00,13.1
Wazirpur,O3,2025-12-05 09:00:00,16.1
Wazirpur,O3,2025-12-05 10:00:00,37.3
Wazirpur,O3,2025-12-05 11:00:00,51.7
Wazirpur,O3,2025-12-05 12:00:00,85.3
Wazirpur,O3,2025-12-05 13:00:00,116.9
Wazirpur,O3,2025-12-05 14:00:00,124.8
Wazirpur,O3,2025-12-05 15:00:00,121.8
Wazirpur,O3,2025-12-05 16:00:00,95.7
Wazirpur,O3,2025-12-05 17:00:00,20.6
Wazirpur,O3,2025-12-05 18:00:00,2.3
Wazirpur,O3,2025-12-05 19:00:00,14.7
Wazirpur,O3,2025-12-05 20:00:00,15.0
Wazirpur,O3,2025-12-05 21:00:00,11.6
Wazirpur,O3,2025-12-05 22:00:00,16.0
Wazirpur,O3,2025-12-05 23:00:00,9.2
Wazirpur,O3,2025-12-06 00:00:00,
Wazirpur,O3,2025-12-06 01:00:00,9.6
Wazirpur,O3,2025-12-06 02:00:00,8.8
Wazirpur,O3,2025-12-06 03:00:00,16.5
Wazirpur,O3,2025-12-06 04:00:00,15.7
Wazirpur,O3,2025-12-06 05:00:00,22.5
Wazirpur,O3,2025-12-06 06:00:00,21.8
Wazirpur,O3,2025-12-06 07:00:00,13.2
Wazirpur,O3,2025-12-06 08:00:00,26.5
Wazirpur,O3,2025-12-06 09:00:00,36.0
Wazirpur,O3,2025-12-06 10:00:00,55.8
Wazirpur,O3,2025-12-06 11:00:00,70.5
Wazirpur,O3,2025-12-06 12:00:00,88.1
Wazirpur,O3,2025-12-06 13:00:00,124.8
Wazirpur,O3,2025-12-06 14:00:00,136.1
Wazirpur,O3,2025-12-06 15:00:00,108.1
Wazirpur,O3,2025-12-06 16:00:00,95.4
Wazirpur,O3,2025-12-06 17:00:00,43.0
Wazirpur,O3,2025-12-06 18:00:00,13.5
Wazirpur,O3,2025-12-06 19:00:00,16.3
Wazirpur,O3,2025-12-06 20:00:00,31.3
Wazirpur,O3,2025-12-06 21:00:00,28.7
Wazirpur,O3,2025-12-06 22:00:00,38.9
Wazirpur,O3,2025-12-06 23:00:00,39.2
Wazirpur,O3,2025-12-07 00:00:00,5.0
