zone,param,timestamp,value
Wazirpur,PM10,2025-12-01 01:00:00,248.0
Wazirpur,PM10,2025-12-01 02:00:00,362.0
Wazirpur,PM10,2025-12-01 03:00:00,287.0
Wazirpur,PM10,2025-12-01 04:00:00,324.0
Wazirpur,PM10,2025-12-01 05:00:00,362.0
Wazirpur,PM10,2025-12-01 06:00:00,362.0
Wazirpur,PM10,2025-12-01 07:00:00,346.0
Wazirpur,PM10,2025-12-01 08:00:00,412.0
Wazirpur,PM10,2025-12-01 09:00:00,453.0
Wazirpur,PM10,2025-12-01 10:00:00,442.0
Wazirpur,PM10,2025-12-01 11:00:00,428.0
Wazirpur,PM10,2025-12-01 12:00:00,274.0
Wazirpur,PM10,2025-12-01 13:00:00,298.0
Wazirpur,PM10,2025-12-01 14:00:00,235.0
Wazirpur,PM10,2025-12-01 15:00:00,191.0
Wazirpur,PM10,2025-12-01 16:00:00,191.0
Wazirpur,PM10,2025-12-01 17:00:00,249.0
Wazirpur,PM10,2025-12-01 18:00:00,300.0
Wazirpur,PM10,2025-12-01 19:00:00,412.0
Wazirpur,PM10,2025-12-01 20:00:00,610.0
Wazirpur,PM10,2025-12-01 21:00:00,527.0
Wazirpur,PM10,2025-12-01 22:00:00,864.0
Wazirpur,PM10,2025-12-01 23:00:00,792.0
Wazirpur,PM10,2025-12-02 00:00:00,604.0
Wazirpur,PM10,2025-12-02 01:00:00,635.0
Wazirpur,PM10,2025-12-02 02:00:00,613.0
Wazirpur,PM10,2025-12-02 03:00:00,478.0
Wazirpur,PM10,2025-12-02 04:00:00,460.0
Wazirpur,PM10,2025-12-02 05:00:00,427.0
Wazirpur,PM10,2025-12-02 06:00:00,394.0
Wazirpur,PM10,2025-12-02 07:00:00,484.0
Wazirpur,PM10,2025-12-02 08:00:00,577.0
Wazirpur,PM10,2025-12-02 09:00:00,752.0
Wazirpur,PM10,2025-12-02 10:00:00,570.0
Wazirpur,PM10,2025-12-02 11:00:00,525.0
Wazirpur,PM10,2025-12-02 12:00:00,567.0
Wazirpur,PM10,2025-12-02 13:00:00,648.0
Wazirpur,PM10,2025-12-02 14:00:00,537.0
Wazirpur,PM10,2025-12-02 15:00:00,470.0
Wazirpur,PM10,2025-12-02 16:00:00,340.0
Wazirpur,PM10,2025-12-02 17:00:00,345.0
Wazirpur,PM10,2025-12-02 18:00:00,516.0
Wazirpur,PM10,2025-12-02 19:00:00,626.0
Wazirpur,PM10,2025-12-02 20:00:00,777.0
Wazirpur,PM10,2025-12-02 21:00:00,616.0
Wazirpur,PM10,2025-12-02 22:00:00,773.0
Wazirpur,PM10,2025-12-02 23:00:00,587.0
Wazirpur,PM10,2025-12-03 00:00:00,570.0
Wazirpur,PM10,2025-12-03 13:00:00,280.0
Wazirpur,PM10,2025-12-03 14:00:00,238.0
Wazirpur,PM10,2025-12-03 15:00:00,215.0
Wazirpur,PM10,2025-12-03 16:00:00,191.0
